"","ozempic_opinion","income_score","genetics","OZread","OZUSE_a_W142","partylean","gender","genetics_collapsed","opinion_collapsed"
"1122","Quite a bit","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"1123","Quite a bit","Middle Income","Some","A little","Yes","Democrat","Male","Some","A lot"
"1124","Nothing at all","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Nothing at all"
"1125","Nothing at all","Lower Income","Some","A lot","Not sure","Republican","Female","Some","Nothing at all"
"1126","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Not too much"
"1127","Quite a bit","Lower Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"1128","Nothing at all","Middle Income","Some","A lot","Not sure","Republican","Male","Some","Nothing at all"
"1129","A great deal","Lower Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"1130","Not too much","Upper Income","Quite a bit","A lot","No","Republican","Female","Quite a bit","Not too much"
"1131","Some","Upper Income","Some","A little","Yes","Republican","Male","Some","Some"
"1132","A great deal","Upper Income","A great deal","A little","Yes","Republican","Male","A great deal","A lot"
"1133","Some","Lower Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Some"
"1134","Quite a bit","Middle Income","Some","A little","Yes","Democrat","Male","Some","A lot"
"1135","Not too much","Middle Income","Some","A little","No","Democrat","Female","Some","Not too much"
"1136","Some","Lower Income","Some","A lot","No","Republican","Female","Some","Some"
"1137","Some","Middle Income","Some","A little","Yes","Republican","Male","Some","Some"
"1138","Quite a bit","Upper Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"1139","Quite a bit","Middle Income","Some","A little","Yes","Democrat","Female","Some","A lot"
"1140","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"1141","Not too much","Upper Income","Some","A lot","Yes","Democrat","Female","Some","Not too much"
"1142","Not too much","Lower Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Not too much"
"1143","Not too much","Upper Income","Some","A little","Not sure","Democrat","Female","Some","Not too much"
"1144","Quite a bit","Middle Income","Some","A lot","Yes","Republican","Female","Some","A lot"
"1145","Not too much","Middle Income","Some","A little","Not sure","Republican","Female","Some","Not too much"
"1146","Some","Lower Income","Quite a bit","A lot","No","Democrat","Female","Quite a bit","Some"
"1147","Some","Upper Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"1148","Not too much","Lower Income","A great deal","A little","No","Democrat","Female","A great deal","Not too much"
"1149","Not too much","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Not too much"
"1150","Nothing at all","Middle Income","Some","A lot","Not sure","Republican","Male","Some","Nothing at all"
"1151","Not too much","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"1152","Not too much","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"1153","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Some"
"1154","Some","Upper Income","Some","A little","No","Democrat","Male","Some","Some"
"1155","A great deal","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"1156","Nothing at all","Upper Income","Some","A little","Not sure","Republican","Female","Some","Nothing at all"
"1157","Some","Upper Income","Quite a bit","A lot","No","Republican","Female","Quite a bit","Some"
"1158","Quite a bit","Upper Income","Some","A lot","Yes","Republican","Male","Some","A lot"
"1159","Not too much","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"1160","Some","Upper Income","Quite a bit","A lot","No","Democrat","Female","Quite a bit","Some"
"1161","Not too much","Middle Income","Some","A lot","Not sure","Republican","Female","Some","Not too much"
"1162","Some","Middle Income","Some","A little","Yes","Republican","Male","Some","Some"
"1163","Not too much","Lower Income","Some","A lot","Not sure","Republican","Female","Some","Not too much"
"1164","Some","Upper Income","Some","A little","Yes","Republican","Male","Some","Some"
"1165","Some","Middle Income","Quite a bit","A lot","No","Democrat","Female","Quite a bit","Some"
"1166","Not too much","Lower Income","Not too much","A little","No","Republican","Female","Low","Not too much"
"1167","Some","Middle Income","Some","A little","Yes","Democrat","Female","Some","Some"
"1168","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"1169","Some","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1170","Not too much","Lower Income","Some","A lot","Not sure","Democrat","Female","Some","Not too much"
"1171","Nothing at all","Middle Income","Some","A little","Not sure","Democrat","Female","Some","Nothing at all"
"1172","A great deal","Lower Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","A lot"
"1173","Not too much","Upper Income","Some","A lot","Not sure","Republican","Male","Some","Not too much"
"1174","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Not too much"
"1175","Some","Upper Income","Some","A little","No","Republican","Female","Some","Some"
"1176","Some","Upper Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Some"
"1177","Some","Upper Income","Quite a bit","A lot","No","Republican","Male","Quite a bit","Some"
"1178","Some","Upper Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"1179","Not too much","Middle Income","Quite a bit","A lot","Not sure","Democrat","Male","Quite a bit","Not too much"
"1180","Nothing at all","Upper Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Nothing at all"
"1181","Some","Middle Income","Some","A little","Yes","Democrat","Female","Some","Some"
"1182","Some","Upper Income","A great deal","A lot","Yes","Republican","Male","A great deal","Some"
"1183","Not too much","Middle Income","Some","A little","No","Republican","Male","Some","Not too much"
"1184","Some","Lower Income","Some","A little","Yes","Democrat","Male","Some","Some"
"1185","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"1186","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"1187","Some","Middle Income","Some","A little","Yes","Democrat","Male","Some","Some"
"1188","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1189","Not too much","Upper Income","Some","A little","No","Republican","Male","Some","Not too much"
"1190","Some","Upper Income","Some","A lot","Yes","Democrat","Female","Some","Some"
"1191","Some","Upper Income","A great deal","A lot","Not sure","Republican","Female","A great deal","Some"
"1192","Not too much","Upper Income","Some","A little","Yes","Republican","Female","Some","Not too much"
"1193","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"1194","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"1195","Some","Middle Income","Some","A little","Not sure","Democrat","Male","Some","Some"
"1196","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Female","Quite a bit","Not too much"
"1197","Quite a bit","Middle Income","Some","A lot","Yes","Democrat","Female","Some","A lot"
"1198","Not too much","Upper Income","Some","A little","Yes","Democrat","Male","Some","Not too much"
"1199","Nothing at all","Middle Income","Some","A lot","Not sure","Republican","Male","Some","Nothing at all"
"1200","Nothing at all","Middle Income","Some","A little","Not sure","Democrat","Female","Some","Nothing at all"
"1201","Not too much","Upper Income","A great deal","A lot","Yes","Republican","Female","A great deal","Not too much"
"1202","Not too much","Middle Income","Some","A lot","No","Democrat","Male","Some","Not too much"
"1203","Some","Upper Income","Quite a bit","A lot","No","Republican","Male","Quite a bit","Some"
"1204","Some","Upper Income","Some","A lot","Yes","Republican","Male","Some","Some"
"1205","Nothing at all","Middle Income","A great deal","A little","Not sure","Democrat","Male","A great deal","Nothing at all"
"1206","Not too much","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"1207","Some","Middle Income","A great deal","A lot","No","Democrat","Male","A great deal","Some"
"1208","Some","Lower Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Some"
"1209","Some","Middle Income","Quite a bit","A lot","No","Republican","Female","Quite a bit","Some"
"1210","Not too much","Middle Income","Some","A little","Not sure","Democrat","Female","Some","Not too much"
"1211","Not too much","Middle Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Not too much"
"1212","Not too much","Middle Income","Some","A little","No","Democrat","Male","Some","Not too much"
"1213","Some","Upper Income","A great deal","A little","No","Democrat","Male","A great deal","Some"
"1214","Quite a bit","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","A lot"
"1215","Not too much","Middle Income","Not too much","A lot","No","Republican","Male","Low","Not too much"
"1216","Not too much","Upper Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Not too much"
"1217","Not too much","Upper Income","Not too much","A little","Yes","Democrat","Male","Low","Not too much"
"1218","Some","Upper Income","Not too much","A little","Yes","Democrat","Male","Low","Some"
"1219","Some","Middle Income","Some","A little","Not sure","Republican","Male","Some","Some"
"1220","Nothing at all","Lower Income","Some","A little","No","Democrat","Female","Some","Nothing at all"
"1221","Not too much","Upper Income","Not too much","A little","Yes","Democrat","Male","Low","Not too much"
"1222","Some","Middle Income","A great deal","A little","Yes","Democrat","Male","A great deal","Some"
"1223","Not too much","Middle Income","Not too much","A lot","Yes","Republican","Female","Low","Not too much"
"1224","Some","Middle Income","A great deal","A lot","Yes","Republican","Female","A great deal","Some"
"1225","Not too much","Middle Income","Some","A little","Yes","Republican","Male","Some","Not too much"
"1226","Nothing at all","Middle Income","Quite a bit","A lot","Not sure","Republican","Male","Quite a bit","Nothing at all"
"1227","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1228","Not too much","Middle Income","A great deal","A little","Yes","Democrat","Male","A great deal","Not too much"
"1229","Not too much","Middle Income","Quite a bit","A little","Not sure","Democrat","Female","Quite a bit","Not too much"
"1230","Some","Middle Income","Some","A little","Yes","Republican","Male","Some","Some"
"1231","Some","Upper Income","Some","A little","Yes","Democrat","Male","Some","Some"
"1232","Not too much","Lower Income","A great deal","A little","Yes","Democrat","Female","A great deal","Not too much"
"1233","Not too much","Middle Income","Some","A little","Yes","Republican","Male","Some","Not too much"
"1234","Not too much","Middle Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Not too much"
"1235","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","A lot"
"1236","Some","Middle Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Some"
"1237","Not too much","Lower Income","A great deal","A little","Yes","Democrat","Female","A great deal","Not too much"
"1238","Nothing at all","Upper Income","Quite a bit","A lot","Not sure","Republican","Male","Quite a bit","Nothing at all"
"1239","Some","Middle Income","Some","A little","Not sure","Democrat","Female","Some","Some"
"1240","Not too much","Upper Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Not too much"
"1241","Not too much","Middle Income","Some","A little","No","Republican","Male","Some","Not too much"
"1242","Not too much","Middle Income","A great deal","A lot","Yes","Republican","Male","A great deal","Not too much"
"1243","Quite a bit","Middle Income","A great deal","A little","Yes","Republican","Male","A great deal","A lot"
"1244","Quite a bit","Upper Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"1245","Some","Middle Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Some"
"1246","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"1247","Not too much","Middle Income","Some","A lot","Yes","Republican","Female","Some","Not too much"
"1248","Some","Upper Income","Quite a bit","A lot","No","Republican","Female","Quite a bit","Some"
"1249","Some","Lower Income","A great deal","A little","Not sure","Democrat","Female","A great deal","Some"
"1250","Some","Lower Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Some"
"1251","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1252","Some","Upper Income","Some","A lot","Yes","Democrat","Male","Some","Some"
"1253","Not too much","Upper Income","Some","A lot","Yes","Republican","Male","Some","Not too much"
"1254","Some","Middle Income","Some","A little","Yes","Republican","Male","Some","Some"
"1255","Quite a bit","Upper Income","Some","A little","Yes","Republican","Male","Some","A lot"
"1256","Not too much","Middle Income","A great deal","A lot","Not sure","Republican","Female","A great deal","Not too much"
"1257","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Not too much"
"1258","Quite a bit","Upper Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","A lot"
"1259","Some","Lower Income","Not too much","A little","Not sure","Republican","Female","Low","Some"
"1260","Quite a bit","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"1261","Not too much","Middle Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Not too much"
"1262","Quite a bit","Upper Income","Some","A little","Yes","Republican","Male","Some","A lot"
"1263","Some","Middle Income","A great deal","A little","No","Democrat","Female","A great deal","Some"
"1264","Some","Lower Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Some"
"1265","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Some"
"1266","A great deal","Lower Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","A lot"
"1267","Some","Middle Income","A great deal","A little","Not sure","Democrat","Male","A great deal","Some"
"1268","Quite a bit","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","A lot"
"1269","Some","Lower Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"1270","Some","Middle Income","A great deal","A little","Yes","Republican","Male","A great deal","Some"
"1271","Not too much","Middle Income","Quite a bit","A lot","No","Democrat","Male","Quite a bit","Not too much"
"1272","Quite a bit","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","A lot"
"1273","Some","Lower Income","Some","A little","Yes","Republican","Female","Some","Some"
"1274","Some","Lower Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1275","Not too much","Middle Income","Not too much","A little","No","Democrat","Male","Low","Not too much"
"1276","Not too much","Upper Income","Some","A little","Yes","Republican","Male","Some","Not too much"
"1277","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"1278","Some","Middle Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"1279","Not too much","Upper Income","Some","A little","Not sure","Republican","Male","Some","Not too much"
"1280","Some","Middle Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","Some"
"1281","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1282","Not too much","Upper Income","A great deal","A lot","No","Democrat","Male","A great deal","Not too much"
"1283","Not too much","Lower Income","A great deal","A little","No","Democrat","Female","A great deal","Not too much"
"1284","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1285","Not too much","Middle Income","Some","A little","Not sure","Democrat","Male","Some","Not too much"
"1286","Not too much","Middle Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"1287","Not too much","Middle Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Not too much"
"1288","Quite a bit","Lower Income","Not too much","A little","Yes","Democrat","Female","Low","A lot"
"1289","Some","Upper Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1290","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Some"
"1291","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1292","Not too much","Upper Income","Some","A lot","Yes","Republican","Female","Some","Not too much"
"1293","Some","Middle Income","A great deal","A little","Yes","Republican","Female","A great deal","Some"
"1294","Nothing at all","Upper Income","Some","A lot","Not sure","Democrat","Male","Some","Nothing at all"
"1295","Quite a bit","Lower Income","A great deal","A lot","Yes","Republican","Female","A great deal","A lot"
"1296","Quite a bit","Lower Income","Some","A little","Yes","Democrat","Female","Some","A lot"
"1297","Some","Middle Income","Some","A little","Yes","Democrat","Female","Some","Some"
"1298","Some","Middle Income","A great deal","A little","No","Republican","Male","A great deal","Some"
"1299","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Not too much"
"1300","Not too much","Upper Income","Some","A lot","Yes","Democrat","Female","Some","Not too much"
"1301","Some","Middle Income","Some","A little","Yes","Democrat","Male","Some","Some"
"1302","Nothing at all","Lower Income","Quite a bit","A lot","Not sure","Republican","Female","Quite a bit","Nothing at all"
"1303","Some","Middle Income","Some","A lot","Yes","Republican","Female","Some","Some"
"1304","Nothing at all","Lower Income","Some","A little","Not sure","Republican","Female","Some","Nothing at all"
"1305","Some","Lower Income","Some","A lot","Yes","Democrat","Male","Some","Some"
"1306","Not too much","Upper Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Not too much"
"1307","Some","Lower Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"1308","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","A lot"
"1309","Some","Lower Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Some"
"1310","Not too much","Middle Income","Some","A little","Yes","Democrat","Female","Some","Not too much"
"1311","Not too much","Middle Income","A great deal","A little","Yes","Democrat","Male","A great deal","Not too much"
"1312","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"1313","A great deal","Lower Income","A great deal","A lot","No","Democrat","Female","A great deal","A lot"
"1314","Some","Middle Income","A great deal","A little","Yes","Democrat","Female","A great deal","Some"
"1315","Some","Upper Income","Some","A lot","Yes","Republican","Female","Some","Some"
"1316","Not too much","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Not too much"
"1317","Not too much","Middle Income","Some","A little","Not sure","Republican","Male","Some","Not too much"
"1318","Not too much","Lower Income","Some","A lot","Yes","Democrat","Female","Some","Not too much"
"1319","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1320","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"1321","Some","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Some"
"1322","Some","Upper Income","Some","A lot","Yes","Republican","Female","Some","Some"
"1323","Not too much","Middle Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Not too much"
"1324","Some","Middle Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Some"
"1325","Some","Middle Income","A great deal","A lot","Yes","Democrat","Male","A great deal","Some"
"1326","Quite a bit","Middle Income","A great deal","A lot","Yes","Democrat","Female","A great deal","A lot"
"1327","Not too much","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Not too much"
"1328","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1329","Quite a bit","Middle Income","Quite a bit","A little","Yes","Republican","Female","Quite a bit","A lot"
"1330","Not too much","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Not too much"
"1331","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"1332","Some","Middle Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Some"
"1333","Quite a bit","Middle Income","A great deal","A little","Yes","Democrat","Female","A great deal","A lot"
"1334","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Some"
"1335","Not too much","Lower Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"1336","Some","Middle Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Some"
"1337","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1338","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"1339","Not too much","Middle Income","Some","A little","Yes","Democrat","Male","Some","Not too much"
"1340","Quite a bit","Upper Income","A great deal","A little","Yes","Democrat","Female","A great deal","A lot"
"1341","Quite a bit","Upper Income","Some","A lot","Yes","Republican","Male","Some","A lot"
"1342","Not too much","Middle Income","Some","A lot","No","Democrat","Male","Some","Not too much"
"1343","Not too much","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","Not too much"
"1344","Some","Middle Income","Some","A lot","Yes","Democrat","Female","Some","Some"
"1345","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1346","Not too much","Lower Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Not too much"
"1347","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"1348","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1349","Nothing at all","Lower Income","A great deal","A lot","Not sure","Republican","Female","A great deal","Nothing at all"
"1350","Some","Lower Income","A great deal","A lot","Yes","Republican","Male","A great deal","Some"
"1351","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"1352","Some","Middle Income","Some","A little","No","Democrat","Female","Some","Some"
"1353","Quite a bit","Upper Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","A lot"
"1354","A great deal","Upper Income","A great deal","A lot","Yes","Democrat","Male","A great deal","A lot"
"1355","Some","Lower Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1356","Nothing at all","Middle Income","A great deal","A little","Yes","Republican","Male","A great deal","Nothing at all"
"1357","Quite a bit","Middle Income","A great deal","A little","Not sure","Democrat","Female","A great deal","A lot"
"1358","Not too much","Middle Income","Some","A little","Yes","Republican","Female","Some","Not too much"
"1359","Some","Middle Income","A great deal","A little","Yes","Republican","Male","A great deal","Some"
"1360","Not too much","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"1361","Some","Middle Income","Quite a bit","A lot","Yes","Republican","Male","Quite a bit","Some"
"1362","Not too much","Upper Income","Some","A lot","Not sure","Republican","Female","Some","Not too much"
"1363","Some","Upper Income","Some","A lot","Not sure","Democrat","Male","Some","Some"
"1364","Not too much","Upper Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Not too much"
"1365","Quite a bit","Lower Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","A lot"
"1366","Some","Middle Income","Quite a bit","A lot","No","Democrat","Female","Quite a bit","Some"
"1367","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","A lot"
"1368","Some","Upper Income","Some","A lot","Yes","Democrat","Female","Some","Some"
"1369","Not too much","Lower Income","Some","A little","Not sure","Democrat","Female","Some","Not too much"
"1370","Quite a bit","Middle Income","Some","A lot","Yes","Republican","Female","Some","A lot"
"1371","Not too much","Middle Income","Not too much","A lot","Not sure","Republican","Male","Low","Not too much"
"1372","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1373","Some","Upper Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Some"
"1374","Some","Middle Income","Some","A little","Not sure","Republican","Male","Some","Some"
"1375","Some","Upper Income","A great deal","A lot","Yes","Democrat","Male","A great deal","Some"
"1376","Not too much","Lower Income","Some","A lot","Yes","Republican","Male","Some","Not too much"
"1377","Quite a bit","Middle Income","A great deal","A lot","Yes","Democrat","Male","A great deal","A lot"
"1378","Not too much","Middle Income","Quite a bit","A little","Not sure","Republican","Male","Quite a bit","Not too much"
"1379","A great deal","Middle Income","Quite a bit","A lot","Not sure","Republican","Female","Quite a bit","A lot"
"1380","Nothing at all","Upper Income","Some","A lot","Not sure","Republican","Male","Some","Nothing at all"
"1381","Not too much","Middle Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Not too much"
"1382","Quite a bit","Upper Income","Some","A lot","Yes","Democrat","Female","Some","A lot"
"1383","Some","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1384","Not too much","Middle Income","Some","A little","Yes","Republican","Female","Some","Not too much"
"1385","Not too much","Lower Income","Some","A little","Not sure","Republican","Female","Some","Not too much"
"1386","Some","Middle Income","Quite a bit","A lot","No","Republican","Male","Quite a bit","Some"
"1387","Some","Lower Income","Not too much","A little","Not sure","Democrat","Male","Low","Some"
"1388","Not too much","Upper Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","Not too much"
"1389","Some","Middle Income","Some","A lot","No","Republican","Male","Some","Some"
"1390","Some","Upper Income","A great deal","A little","No","Democrat","Male","A great deal","Some"
"1391","Not too much","Lower Income","Some","A lot","Not sure","Democrat","Male","Some","Not too much"
"1392","Some","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Some"
"1393","Some","Upper Income","A great deal","A little","Yes","Democrat","Male","A great deal","Some"
"1394","Some","Middle Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Some"
"1395","Quite a bit","Upper Income","A great deal","A lot","Not sure","Democrat","Female","A great deal","A lot"
"1396","Some","Upper Income","A great deal","A lot","Yes","Republican","Female","A great deal","Some"
"1397","Not too much","Upper Income","A great deal","A little","Yes","Republican","Male","A great deal","Not too much"
"1398","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1399","Some","Middle Income","Some","A lot","Yes","Republican","Female","Some","Some"
"1400","Not too much","Upper Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Not too much"
"1401","Not too much","Middle Income","Not too much","A little","Not sure","Republican","Male","Low","Not too much"
"1402","Not too much","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Not too much"
"1403","Nothing at all","Upper Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","Nothing at all"
"1404","Some","Middle Income","Quite a bit","A little","No","Republican","Male","Quite a bit","Some"
"1405","Some","Middle Income","A great deal","A little","No","Republican","Male","A great deal","Some"
"1406","Not too much","Lower Income","Quite a bit","A little","No","Democrat","Female","Quite a bit","Not too much"
"1407","Quite a bit","Middle Income","Not too much","A little","Not sure","Democrat","Male","Low","A lot"
"1408","Some","Lower Income","Not too much","A little","Not sure","Republican","Female","Low","Some"
"1409","Some","Lower Income","A great deal","A little","Not sure","Democrat","Male","A great deal","Some"
"1410","Quite a bit","Lower Income","A great deal","A little","Yes","Democrat","Female","A great deal","A lot"
"1411","Some","Middle Income","Quite a bit","A little","Not sure","Democrat","Male","Quite a bit","Some"
"1412","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"1413","Some","Middle Income","Quite a bit","A little","Yes","Republican","Male","Quite a bit","Some"
"1414","Not too much","Middle Income","Quite a bit","A lot","Yes","Democrat","Male","Quite a bit","Not too much"
"1415","Not too much","Upper Income","A great deal","A little","Yes","Democrat","Male","A great deal","Not too much"
"1416","Quite a bit","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","A lot"
"1417","Quite a bit","Lower Income","Quite a bit","A little","No","Democrat","Male","Quite a bit","A lot"
"1418","Not too much","Middle Income","Quite a bit","A little","Not sure","Democrat","Male","Quite a bit","Not too much"
"1419","Not too much","Middle Income","Quite a bit","A little","No","Republican","Female","Quite a bit","Not too much"
"1420","Some","Middle Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1421","Some","Lower Income","Some","A little","No","Republican","Female","Some","Some"
"1422","Quite a bit","Lower Income","Quite a bit","A lot","Yes","Democrat","Female","Quite a bit","A lot"
"1423","Quite a bit","Middle Income","A great deal","A lot","Yes","Republican","Male","A great deal","A lot"
"1424","Some","Lower Income","Some","A lot","Yes","Republican","Male","Some","Some"
"1425","Not too much","Middle Income","Some","A little","Yes","Republican","Male","Some","Not too much"
"1426","Quite a bit","Middle Income","Quite a bit","A lot","Yes","Republican","Female","Quite a bit","A lot"
"1427","Quite a bit","Lower Income","Some","A little","No","Republican","Male","Some","A lot"
"1428","A great deal","Lower Income","Some","A little","Yes","Democrat","Female","Some","A lot"
"1429","Some","Lower Income","Quite a bit","A little","Yes","Democrat","Female","Quite a bit","Some"
"1430","Not too much","Middle Income","Quite a bit","A little","Yes","Democrat","Male","Quite a bit","Not too much"
"1431","Some","Lower Income","Some","A little","No","Democrat","Female","Some","Some"
"1432","Nothing at all","Middle Income","Not at all","A lot","Not sure","Republican","Male","Low","Nothing at all"
